unit_code,unit_title,level,session,category,evidence_item_count,has_evidence,source_url
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,Digital Business Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS1020,Working in Digital Ecosystems,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS1020/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,2,Yes,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,4,Yes,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,Digital Ethics and Compassionate Innovation,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,4,Yes,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,2,Yes,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,4,Yes,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
